ID,Elephant,Int,Date,LO,FF,AG,SO,SO2,EE,FE,ST,IN,OA,NV
,Jati,6:30:00 PM,3/1/2020,,,,,,,,1,,,
,Gambir,6:30:00 PM,3/1/2020,,1,,,,,,,,,
,Intan,6:30:00 PM,3/1/2020,,1,,,,,,,,,
,Aprila,6:30:00 PM,3/1/2020,,1,,,,,,,,,
,Komali,7:00:00 PM,3/1/2020,,,,1,,,,,,,
,Jati,7:00:00 PM,3/1/2020,,,,1,,,,,,,
,Gambir,7:00:00 PM,3/1/2020,,1,,,,,,,,,
,Intan,7:00:00 PM,3/1/2020,,,,,,,,1,,,
,Aprila,7:00:00 PM,3/1/2020,,1,,,,,,,,,
,Komali,7:30:00 PM,3/1/2020,,,,1,,,,,,,
,Jati,7:30:00 PM,3/1/2020,,,,1,,,,,,,
,Gambir,7:30:00 PM,3/1/2020,,1,,,,,,,,,
,Intan,7:30:00 PM,3/1/2020,,1,,,,,,,,,
,Aprila,7:30:00 PM,3/1/2020,,1,,,,,,,,,
,Komali,8:00:00 PM,3/1/2020,,,,,,,,1,,,
,Jati,8:00:00 PM,3/1/2020,,,,,,,,1,,,
,Gambir,8:00:00 PM,3/1/2020,,1,,,,,,,,,
,Intan,8:00:00 PM,3/1/2020,,,,,,,,1,,,
,Aprila,8:00:00 PM,3/1/2020,,1,,,,,,,,,
,Komali,8:30:00 PM,3/1/2020,,1,,,,,,,,,
,Jati,8:30:00 PM,3/1/2020,,,,,,,,1,,,
,Gambir,8:30:00 PM,3/1/2020,1,,,,,,,,,,
,Intan,8:30:00 PM,3/1/2020,,,,,,,,1,,,
,Aprila,8:30:00 PM,3/1/2020,,1,,,,,,,,,
,Komali,9:00:00 PM,3/1/2020,,,,,,,,1,,,
,Jati,9:00:00 PM,3/1/2020,,,,,,,,1,,,
,Gambir,9:00:00 PM,3/1/2020,,1,,,,,,,,,
,Intan,9:00:00 PM,3/1/2020,,,,,,,,1,,,
,Aprila,9:00:00 PM,3/1/2020,,1,,,,,,,,,
,Komali,9:30:00 PM,3/1/2020,,1,,,,,,,,,
,Jati,9:30:00 PM,3/1/2020,,,,,,,,1,,,
